Metal,Variable,Spearman_rho,p_value,n_samples,Significant
Arsenic,pH,-0.21568996647139146,0.00040578177809699647,265,True
Arsenic,Clay_%,-0.06192903422598608,0.3236607263711999,256,False
Arsenic,Organic_Matter_%,-0.013177985531015252,0.8331595252156802,258,False
Cadmium,pH,-0.19694729667817645,0.0012981427473335006,264,True
Cadmium,Clay_%,-0.4040030439669482,1.9754294146753037e-11,255,True
Cadmium,Organic_Matter_%,-0.06129766118679612,0.32767548512292133,257,False
Lead,pH,-0.24908658708576426,4.122910637829157e-05,265,True
Lead,Clay_%,-0.22305777079331784,0.00032205548714245975,256,True
Lead,Organic_Matter_%,-0.17400088695799198,0.005067551508073206,258,True
Zinc,pH,0.12366796931337765,0.0442854025483081,265,True
Zinc,Clay_%,0.2700347520020559,1.1809649482424093e-05,256,True
Zinc,Organic_Matter_%,0.13358197666911875,0.03196507495785993,258,True
