Metal,Parameter,Parameter_Code,Spearman_rho,p_value,n_samples,Significant
Arsenic,pH,pH,-0.21568996647139146,0.00040578177809699647,265,True
Arsenic,Dissolved Oxygen (mg/L),DO_mg_per_L,0.2061732034600278,0.0007508538260773515,264,True
Arsenic,Clay (%),Clay_%,-0.06192903422598608,0.3236607263711999,256,False
Arsenic,Organic Matter (%),Organic_Matter_%,-0.013177985531015252,0.8331595252156802,258,False
Arsenic,Iron (%),Fe_%,0.26783653358434273,9.84817336532636e-06,265,True
Arsenic,Manganese (mg/kg),Mn_mg_per_kg,0.22478739212696047,0.00022487114696438234,265,True
Arsenic,Aluminum (%),Al_%,0.21168793813887157,0.013712061214728035,135,True
Arsenic,Calcium (%),Ca_%,-0.08519571840852336,0.3258695709378798,135,False
Arsenic,Phosphorus (%),P_%,0.18027648807286936,0.036409873799316844,135,True
Arsenic,Sulfur (%),S_%,0.11469349613453271,0.1853032861525133,135,False
Cadmium,pH,pH,-0.19694729667817645,0.0012981427473335006,264,True
Cadmium,Dissolved Oxygen (mg/L),DO_mg_per_L,0.13172154467119204,0.03273636737729155,263,True
Cadmium,Clay (%),Clay_%,-0.4040030439669482,1.9754294146753037e-11,255,True
Cadmium,Organic Matter (%),Organic_Matter_%,-0.06129766118679612,0.32767548512292133,257,False
Cadmium,Iron (%),Fe_%,-0.1324476629335978,0.031452962693393406,264,True
Cadmium,Manganese (mg/kg),Mn_mg_per_kg,-0.028386596050362246,0.646139724339021,264,False
Cadmium,Aluminum (%),Al_%,0.21803290887989796,0.011072683042384799,135,True
Cadmium,Calcium (%),Ca_%,0.3181440688022216,0.00016970260661397653,135,True
Cadmium,Phosphorus (%),P_%,0.3547948854843169,2.4192261743502223e-05,135,True
Cadmium,Sulfur (%),S_%,0.1998591842342335,0.020122326489397945,135,True
Lead,pH,pH,-0.24908658708576426,4.122910637829157e-05,265,True
Lead,Dissolved Oxygen (mg/L),DO_mg_per_L,0.25139832868890477,3.597630644098054e-05,264,True
Lead,Clay (%),Clay_%,-0.22305777079331784,0.00032205548714245975,256,True
Lead,Organic Matter (%),Organic_Matter_%,-0.17400088695799198,0.005067551508073206,258,True
Lead,Iron (%),Fe_%,0.059034562585297,0.3384131890239055,265,False
Lead,Manganese (mg/kg),Mn_mg_per_kg,0.17647013305374976,0.003954156767038848,265,True
Lead,Aluminum (%),Al_%,0.15691307754572847,0.06914249983222984,135,False
Lead,Calcium (%),Ca_%,0.06783625470446546,0.43435689496169994,135,False
Lead,Phosphorus (%),P_%,0.17854020043654947,0.0382806643888051,135,True
Lead,Sulfur (%),S_%,0.08176226862219367,0.34581524761257654,135,False
Zinc,pH,pH,0.12366796931337765,0.0442854025483081,265,True
Zinc,Dissolved Oxygen (mg/L),DO_mg_per_L,0.15541371552986308,0.011452699696303557,264,True
Zinc,Clay (%),Clay_%,0.2700347520020559,1.1809649482424093e-05,256,True
Zinc,Organic Matter (%),Organic_Matter_%,0.13358197666911875,0.03196507495785993,258,True
Zinc,Iron (%),Fe_%,0.3012367038298562,5.818256349501394e-07,265,True
Zinc,Manganese (mg/kg),Mn_mg_per_kg,0.26342989012876084,1.3924590537399735e-05,265,True
Zinc,Aluminum (%),Al_%,0.2852411400842325,0.0007984555737852722,135,True
Zinc,Calcium (%),Ca_%,0.22571026922137796,0.00848370532992738,135,True
Zinc,Phosphorus (%),P_%,0.2731798621530573,0.0013471024442088953,135,True
Zinc,Sulfur (%),S_%,-0.028541032117265566,0.7424579742504316,135,False
