Event_Station,Event_Date,Event_DO,Metal,Event_Concentration,Downstream_Median,Downstream_Max,Baseline_Median,Enrichment_Factor,n_downstream_samples,n_downstream_stations
Tarapaya,2016-04-19,3.36,Arsenic,2805.0,13.0,1988.0,10.0,1.3,7,7
Tarapaya,2016-04-19,3.36,Cadmium,330.0,0.5,118.0,2.5,0.2,7,7
Tarapaya,2016-04-19,3.36,Lead,2868.0,20.0,1900.0,10.0,2.0,7,7
Tarapaya,2016-04-19,3.36,Zinc,44561.0,137.0,13193.0,167.0,0.8203592814371258,7,7
Potosí - Naciente río La Ribera,2017-10-04,2.84,Arsenic,10.0,10.0,393.0,10.0,1.0,34,29
Potosí - Naciente río La Ribera,2017-10-04,2.84,Cadmium,1.0,1.0,36.0,3.1,0.3225806451612903,34,29
Potosí - Naciente río La Ribera,2017-10-04,2.84,Lead,1.0,3.0,331.0,10.0,0.3,34,29
Potosí - Naciente río La Ribera,2017-10-04,2.84,Zinc,66.0,25.5,11491.0,99.0,0.25757575757575757,34,29
La Quiaca,2024-02-29,2.61,Arsenic,5.0,5.0,540.0,10.0,0.5,11,11
La Quiaca,2024-02-29,2.61,Cadmium,5.0,5.0,608.0,1.0,5.0,11,11
La Quiaca,2024-02-29,2.61,Lead,1337.0,1410.0,7151.0,5.0,282.0,11,11
La Quiaca,2024-02-29,2.61,Zinc,25.0,25.0,25.0,25.0,1.0,11,11
